No.,Time,Source,Destination,Protocol,Length,Info
102,289.519835,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
103,289.990226,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
104,290.366872,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
105,291.456839,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
106,291.792704,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
107,293.264133,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
108,294.856278,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
109,295.886383,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
110,296.310210,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
111,296.936008,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
112,298.458567,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
113,299.951243,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
114,301.096235,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
115,301.653706,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
116,302.104439,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
117,303.562888,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
118,303.894511,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
119,304.201788,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
120,305.826882,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
121,307.167710,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
122,308.342260,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
123,308.905841,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
124,309.244728,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
125,310.252710,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
126,310.708132,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
127,311.862854,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
128,312.227160,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
129,312.863705,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
130,313.359096,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
131,313.835199,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
132,314.438178,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
133,315.453129,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
134,315.860873,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
135,316.170416,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
136,317.447178,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
137,318.056811,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
138,318.498765,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
139,319.984644,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
140,320.546803,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
141,322.123141,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
142,322.670164,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
143,323.135092,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
144,324.561678,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
145,325.998905,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
146,326.355205,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
147,327.747755,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
148,328.280333,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
149,329.769533,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
150,330.322405,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
151,331.021516,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
152,331.570920,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
153,332.668730,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
154,334.207056,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
155,334.873848,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
156,335.367756,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
157,336.509071,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
158,336.833991,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
159,337.264167,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
160,337.939128,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
161,339.409160,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
162,341.146391,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
163,341.652778,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
164,342.129204,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
165,343.713649,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
166,344.197916,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
167,344.622933,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
168,345.770214,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
169,347.264155,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
170,348.291811,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
171,349.470154,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
172,350.139785,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
173,351.368506,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
174,351.862555,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
175,352.317943,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
176,353.907787,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
177,355.143034,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
178,355.840215,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
179,356.364140,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
180,356.989723,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
181,358.258276,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
182,358.649494,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
183,359.128978,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
184,360.858473,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
185,362.140116,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
186,362.672728,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
187,364.421618,127.0.0.1,127.0.0.1,UDP,47,65310→13337Len=15
